seed	k	n	survive_bf	edges_bf	survive_pad	edges_pad	
1	20	0	7	7	7	7	
1	20	10	8	13	8	13	
1	20	20	10	16	10	21	
1	20	30	10	17	10	24	
1	20	40	10	17	10	24	
1	20	50	10	17	10	24	
1	20	60	10	17	10	24	
1	20	70	10	17	10	25	
1	20	80	10	17	10	25	
1	20	90	10	17	10	25	
1	20	100	10	17	10	25	
1	40	0	8	8	8	8	
1	40	10	19	26	17	26	
1	40	20	20	30	18	33	
1	40	30	20	31	18	37	
1	40	40	20	32	20	37	
1	40	50	20	32	20	38	
1	40	60	20	32	20	37	
1	40	70	20	32	20	38	
1	40	80	20	32	20	38	
1	40	90	20	32	20	39	
1	40	100	20	32	20	40	
1	60	0	13	13	13	13	
1	60	10	22	31	20	29	
1	60	20	23	36	21	34	
1	60	30	26	42	23	39	
1	60	40	27	43	25	43	
1	60	50	28	47	26	49	
1	60	60	29	51	26	55	
1	60	70	29	52	26	59	
1	60	80	29	52	26	59	
1	60	90	30	55	26	59	
1	60	100	30	55	26	60	
1	80	0	14	14	14	14	
1	80	10	24	33	23	33	
1	80	20	28	42	27	41	
1	80	30	30	47	27	47	
1	80	40	30	48	27	48	
1	80	50	31	50	26	47	
1	80	60	34	54	29	53	
1	80	70	36	58	30	56	
1	80	80	38	61	31	58	
1	80	90	40	64	33	61	
1	80	100	40	64	33	62	
1	100	0	14	14	14	14	
1	100	10	33	46	33	45	
1	100	20	36	52	34	50	
1	100	30	39	60	35	54	
1	100	40	43	68	39	62	
1	100	50	45	70	40	64	
1	100	60	45	70	40	65	
1	100	70	48	73	42	68	
1	100	80	49	74	43	70	
1	100	90	49	75	43	72	
1	100	100	49	75	45	75	
2	20	0	7	7	7	7	
2	20	10	9	16	8	14	
2	20	20	9	16	8	18	
2	20	30	9	16	8	18	
2	20	40	9	16	8	21	
2	20	50	9	16	9	21	
2	20	60	9	16	9	21	
2	20	70	9	16	9	23	
2	20	80	9	16	9	23	
2	20	90	9	16	9	23	
2	20	100	11	18	11	25	
2	40	0	8	8	8	8	
2	40	10	17	24	16	23	
2	40	20	20	29	18	29	
2	40	30	20	31	19	33	
2	40	40	21	35	19	36	
2	40	50	21	36	19	38	
2	40	60	22	37	20	39	
2	40	70	22	37	20	40	
2	40	80	22	37	20	41	
2	40	90	22	37	20	41	
2	40	100	22	38	20	43	
2	60	0	8	8	8	8	
