seed	k	n	survive_bf	edges_bf	survive_pad	edges_pad	
1	10	0	6	6	6	6	
1	10	2	6	9	6	10	
1	10	4	6	10	6	13	
1	10	6	6	10	6	14	
1	10	8	6	10	6	15	
1	10	10	6	10	6	15	
1	10	12	6	10	6	15	
1	10	14	6	10	6	15	
1	10	16	6	10	6	15	
1	10	18	6	10	6	15	
1	10	20	6	10	6	17	
1	20	0	8	8	8	8	
1	20	4	12	17	11	15	
1	20	8	12	18	11	19	
1	20	12	12	18	11	22	
1	20	16	12	19	11	23	
1	20	20	12	19	11	23	
1	20	24	12	19	11	23	
1	20	28	12	19	12	25	
1	20	32	12	19	12	26	
1	20	36	12	19	12	26	
1	20	40	12	19	12	28	
1	30	0	10	10	10	10	
1	30	6	14	21	14	20	
1	30	12	14	22	14	22	
1	30	18	15	23	14	22	
1	30	24	16	26	15	27	
1	30	30	16	27	15	28	
1	30	36	16	27	15	30	
1	30	42	17	28	16	32	
1	30	48	17	28	16	32	
1	30	54	17	28	16	33	
1	30	60	17	28	16	35	
1	40	0	10	10	10	10	
1	40	8	17	24	16	23	
1	40	16	17	27	16	29	
1	40	24	17	27	16	30	
1	40	32	20	30	16	31	
1	40	40	20	30	17	32	
1	40	48	20	31	17	32	
1	40	56	20	31	17	33	
1	40	64	20	31	17	34	
1	40	72	20	33	18	36	
1	40	80	20	33	18	37	
1	50	0	14	14	14	14	
1	50	10	18	23	16	23	
1	50	20	22	34	20	32	
1	50	30	24	37	21	35	
1	50	40	25	38	23	38	
1	50	50	27	40	26	45	
1	50	60	27	40	26	46	
1	50	70	27	41	26	49	
1	50	80	27	41	26	50	
1	50	90	27	41	26	51	
1	50	100	27	42	26	52	
1	60	0	13	13	13	13	
1	60	12	25	33	22	28	
1	60	24	26	36	23	31	
1	60	36	30	43	25	39	
1	60	48	30	43	25	41	
1	60	60	33	48	29	48	
1	60	72	33	49	30	48	
1	60	84	33	49	30	48	
1	60	96	34	51	31	50	
1	60	108	34	51	31	51	
1	60	120	34	51	31	52	
1	70	0	13	13	13	13	
1	70	14	24	33	20	30	
1	70	28	26	36	21	34	
1	70	42	29	44	25	44	
1	70	56	30	47	26	50	
1	70	70	32	49	28	53	
1	70	84	34	53	31	59	
1	70	98	34	54	31	65	
1	70	112	34	54	31	65	
1	70	126	36	57	32	67	
1	70	140	36	59	33	69	
1	80	0	13	13	13	13	
1	80	16	26	37	24	33	
1	80	32	32	48	27	42	
1	80	48	34	54	28	48	
1	80	64	35	56	29	53	
1	80	80	35	59	29	58	
1	80	96	36	61	31	55	
1	80	112	37	63	33	62	
1	80	128	37	63	33	64	
1	80	144	38	64	33	64	
1	80	160	38	65	34	64	
1	90	0	11	11	11	11	
1	90	18	25	37	24	35	
1	90	36	32	51	28	44	
1	90	54	32	54	30	50	
1	90	72	34	59	31	56	
1	90	90	34	61	32	61	
1	90	108	34	61	32	64	
1	90	126	35	64	32	70	
1	90	144	37	69	33	71	
1	90	162	37	72	35	74	
1	90	180	38	73	36	78	
1	100	0	17	17	17	17	
1	100	20	28	38	25	34	
1	100	40	32	47	29	44	
1	100	60	39	59	34	54	
1	100	80	43	67	36	61	
1	100	100	47	73	39	68	
1	100	120	48	75	40	71	
1	100	140	48	76	41	74	
1	100	160	48	77	41	74	
1	100	180	48	78	41	77	
1	100	200	48	78	41	79	
2	10	0	6	6	6	6	
2	10	2	7	10	7	11	
2	10	4	7	10	7	14	
2	10	6	7	10	7	14	
2	10	8	7	10	7	13	
2	10	10	7	10	7	13	
2	10	12	7	10	7	13	
2	10	14	7	10	7	13	
2	10	16	7	10	7	15	
2	10	18	7	10	7	16	
2	10	20	7	10	7	16	
2	20	0	7	7	7	7	
2	20	4	11	17	11	16	
2	20	8	11	17	11	20	
2	20	12	11	17	11	23	
2	20	16	11	17	11	25	
2	20	20	12	18	11	25	
2	20	24	13	19	11	25	
2	20	28	13	19	11	25	
2	20	32	13	19	11	26	
2	20	36	13	19	11	25	
2	20	40	13	19	11	26	
2	30	0	7	7	7	7	
2	30	6	10	16	9	14	
2	30	12	11	19	11	21	
2	30	18	12	21	12	21	
2	30	24	12	21	12	23	
2	30	30	12	22	12	25	
2	30	36	15	25	13	29	
2	30	42	17	27	13	28	
2	30	48	17	27	13	30	
2	30	54	17	27	13	31	
2	30	60	17	27	13	32	
2	40	0	12	12	12	12	
2	40	8	21	28	19	28	
2	40	16	22	31	19	32	
2	40	24	22	33	20	37	
2	40	32	22	33	21	38	
2	40	40	22	35	21	41	
2	40	48	22	35	21	42	
2	40	56	23	36	21	43	
2	40	64	23	36	21	44	
2	40	72	23	36	21	44	
2	40	80	23	36	21	45	
2	50	0	12	12	12	12	
2	50	10	20	33	19	29	
2	50	20	20	34	19	34	
2	50	30	21	39	20	41	
2	50	40	21	40	21	43	
2	50	50	21	41	21	45	
2	50	60	22	43	22	48	
2	50	70	22	44	22	49	
2	50	80	22	44	22	52	
2	50	90	22	44	22	56	
2	50	100	22	44	22	56	
2	60	0	13	13	13	13	
2	60	12	21	30	19	28	
2	60	24	22	35	20	34	
