seed	BD	V	I	N	t_sec	n_invisible	p_invisible	
1	6	10	4	0	0.2224	4	1	
1	6	10	4	10	0.312	4	1	
1	6	10	4	20	0.2606	4	1	
1	6	10	4	30	0.2752	4	1	
1	6	10	4	40	0.2818	4	1	
1	6	10	4	50	0.2672	4	1	
1	6	10	4	60	0.314	4	1	
1	6	10	4	70	0.3286	4	1	
1	6	10	4	80	0.3286	4	1	
1	6	10	4	90	0.2672	4	1	
1	6	10	4	100	0.234	4	1	
1	8	20	12	0	0.5168	12	1	
1	8	20	12	10	0.392	8	0.666666666666667	
1	8	20	12	20	0.5326	8	0.666666666666667	
1	8	20	12	30	0.4056	8	0.666666666666667	
1	8	20	12	40	0.5616	8	0.666666666666667	
1	8	20	12	50	0.469	8	0.666666666666667	
1	8	20	12	60	0.5002	8	0.666666666666667	
1	8	20	12	70	0.547	8	0.666666666666667	
1	8	20	12	80	0.4368	8	0.666666666666667	
1	8	20	12	90	0.469	8	0.666666666666667	
1	8	20	12	100	0.5148	8	0.666666666666667	
1	10	30	20	0	0.8142	20	1	
1	10	30	20	10	0.7922	16	0.8	
1	10	30	20	20	0.781	16	0.8	
1	10	30	20	30	0.6708	15	0.75	
1	10	30	20	40	0.6708	14	0.7	
1	10	30	20	50	0.624	14	0.7	
1	10	30	20	60	0.6362	14	0.7	
1	10	30	20	70	0.5772	13	0.65	
1	10	30	20	80	0.6396	13	0.65	
1	10	30	20	90	0.5772	13	0.65	
1	10	30	20	100	0.5928	13	0.65	
1	10	40	30	0	1.0462	30	1	
1	10	40	30	10	1.1482	23	0.766666666666667	
1	10	40	30	20	1.0452	23	0.766666666666667	
1	10	40	30	30	1.015	23	0.766666666666667	
1	10	40	30	40	0.8892	20	0.666666666666667	
1	10	40	30	50	0.981	20	0.666666666666667	
1	10	40	30	60	1.0462	20	0.666666666666667	
1	10	40	30	70	0.9224	20	0.666666666666667	
1	10	40	30	80	0.9234	20	0.666666666666667	
1	10	40	30	90	0.8776	20	0.666666666666667	
1	10	40	30	100	0.9848	20	0.666666666666667	
1	14	50	36	0	1.4364	36	1	
1	14	50	36	10	1.483	32	0.888888888888889	
1	14	50	36	20	1.1388	28	0.777777777777778	
1	14	50	36	30	1.1388	26	0.722222222222222	
1	14	50	36	40	1.1114	25	0.694444444444444	
1	14	50	36	50	1.0452	23	0.638888888888889	
1	14	50	36	60	1.092	23	0.638888888888889	
1	14	50	36	70	1.1078	23	0.638888888888889	
1	14	50	36	80	1.0618	23	0.638888888888889	
1	14	50	36	90	1.0784	23	0.638888888888889	
1	14	50	36	100	1.3904	23	0.638888888888889	
1	13	60	47	0	1.6064	47	1	
1	13	60	47	10	1.6274	35	0.74468085106383	
1	13	60	47	20	1.4392	34	0.723404255319149	
1	13	60	47	30	1.2688	30	0.638297872340426	
1	13	60	47	40	1.3104	30	0.638297872340426	
1	13	60	47	50	1.2948	27	0.574468085106383	
1	13	60	47	60	1.2004	27	0.574468085106383	
1	13	60	47	70	1.2344	27	0.574468085106383	
1	13	60	47	80	1.2012	26	0.553191489361702	
1	13	60	47	90	1.1704	26	0.553191489361702	
1	13	60	47	100	1.2012	26	0.553191489361702	
1	13	70	57	0	2.269	57	1	
1	13	70	57	10	2.2172	46	0.807017543859649	
1	13	70	57	20	1.9354	44	0.771929824561403	
1	13	70	57	30	1.796	41	0.719298245614035	
1	13	70	57	40	1.8886	40	0.701754385964912	
1	13	70	57	50	1.6928	38	0.666666666666667	
1	13	70	57	60	1.9144	36	0.631578947368421	
1	13	70	57	70	1.8262	36	0.631578947368421	
1	13	70	57	80	1.6322	36	0.631578947368421	
1	13	70	57	90	1.6692	34	0.596491228070175	
1	13	70	57	100	1.6088	34	0.596491228070175	
1	13	80	67	0	2.622	67	1	
1	13	80	67	10	2.344	54	0.805970149253731	
1	13	80	67	20	2.069	48	0.716417910447761	
1	13	80	67	30	2.346	46	0.686567164179104	
1	13	80	67	40	2.4258	45	0.671641791044776	
1	13	80	67	50	2.265	45	0.671641791044776	
1	13	80	67	60	1.8848	44	0.656716417910448	
1	13	80	67	70	1.7336	43	0.641791044776119	
1	13	80	67	80	1.723	43	0.641791044776119	
1	13	80	67	90	1.9822	42	0.626865671641791	
1	13	80	67	100	1.916	42	0.626865671641791	
1	11	90	79	0	2.8236	79	1	
1	11	90	79	10	2.7438	65	0.822784810126582	
1	11	90	79	20	2.6892	58	0.734177215189873	
1	11	90	79	30	2.3342	58	0.734177215189873	
1	11	90	79	40	2.3098	56	0.708860759493671	
1	11	90	79	50	2.2156	56	0.708860759493671	
1	11	90	79	60	2.2308	56	0.708860759493671	
1	11	90	79	70	2.2518	55	0.69620253164557	
1	11	90	79	80	2.028	53	0.670886075949367	
1	11	90	79	90	2.1424	53	0.670886075949367	
1	11	90	79	100	2.0134	52	0.658227848101266	
1	17	100	83	0	3.4906	83	1	
1	17	100	83	10	3.5062	72	0.867469879518072	
1	17	100	83	20	2.6218	68	0.819277108433735	
1	17	100	83	30	2.5264	61	0.734939759036145	
1	17	100	83	40	2.2786	57	0.686746987951807	
1	17	100	83	50	2.1374	53	0.63855421686747	
1	17	100	83	60	2.1528	52	0.626506024096386	
1	17	100	83	70	2.1812	52	0.626506024096386	
1	17	100	83	80	2.2172	52	0.626506024096386	
1	17	100	83	90	2.1198	52	0.626506024096386	
1	17	100	83	100	2.3108	52	0.626506024096386	
1	12	110	98	0	3.7908	98	1	
1	12	110	98	10	3.6864	82	0.836734693877551	
1	12	110	98	20	2.9486	78	0.795918367346939	
1	12	110	98	30	2.7612	73	0.744897959183674	
1	12	110	98	40	2.7366	71	0.724489795918367	
1	12	110	98	50	2.7458	70	0.714285714285714	
1	12	110	98	60	2.5906	66	0.673469387755102	
1	12	110	98	70	2.7956	67	0.683673469387755	
1	12	110	98	80	2.6832	67	0.683673469387755	
1	12	110	98	90	2.8148	67	0.683673469387755	
1	12	110	98	100	2.825	67	0.683673469387755	
1	15	120	105	0	3.9676	105	1	
1	15	120	105	10	3.7442	88	0.838095238095238	
1	15	120	105	20	3.3872	86	0.819047619047619	
1	15	120	105	30	3.5686	83	0.79047619047619	
1	15	120	105	40	3.3532	83	0.79047619047619	
1	15	120	105	50	3.1542	80	0.761904761904762	
1	15	120	105	60	3.0616	78	0.742857142857143	
1	15	120	105	70	3.086	77	0.733333333333333	
1	15	120	105	80	2.9836	75	0.714285714285714	
1	15	120	105	90	3.0158	73	0.695238095238095	
1	15	120	105	100	2.929	73	0.695238095238095	
1	17	130	113	0	4.5402	113	1	
1	17	130	113	10	3.9762	100	0.884955752212389	
1	17	130	113	20	3.5892	93	0.823008849557522	
1	17	130	113	30	3.415	85	0.752212389380531	
1	17	130	113	40	3.278	83	0.734513274336283	
1	17	130	113	50	3.326	84	0.743362831858407	
1	17	130	113	60	3.2546	82	0.725663716814159	
1	17	130	113	70	3.1866	81	0.716814159292035	
1	17	130	113	80	3.1532	81	0.716814159292035	
1	17	130	113	90	3.4138	79	0.699115044247788	
1	17	130	113	100	3.0256	77	0.68141592920354	
1	18	140	122	0	4.973	122	1	
1	18	140	122	10	4.2122	103	0.844262295081967	
1	18	140	122	20	3.7012	99	0.811475409836066	
1	18	140	122	30	3.7376	95	0.778688524590164	
1	18	140	122	40	3.5102	90	0.737704918032787	
1	18	140	122	50	3.3668	87	0.713114754098361	
1	18	140	122	60	3.276	81	0.663934426229508	
1	18	140	122	70	3.2148	81	0.663934426229508	
1	18	140	122	80	3.3522	78	0.639344262295082	
1	18	140	122	90	3.2146	77	0.631147540983607	
1	18	140	122	100	3.1384	75	0.614754098360656	
1	17	150	133	0	5.0378	133	1	
1	17	150	133	10	4.291	109	0.819548872180451	
1	17	150	133	20	4.0386	102	0.766917293233083	
1	17	150	133	30	3.8534	96	0.721804511278195	
1	17	150	133	40	3.681	93	0.699248120300752	
1	17	150	133	50	3.6964	92	0.691729323308271	
1	17	150	133	60	3.9634	90	0.676691729323308	
1	17	150	133	70	3.597	88	0.661654135338346	
1	17	150	133	80	3.5474	88	0.661654135338346	
1	17	150	133	90	3.8942	86	0.646616541353383	
1	17	150	133	100	3.87	85	0.639097744360902	
1	17	160	143	0	5.6792	143	1	
1	17	160	143	10	5.257	114	0.797202797202797	
1	17	160	143	20	4.7255	111	0.776223776223776	
1	17	160	143	30	4.4955	108	0.755244755244755	
1	17	160	143	40	4.5393	107	0.748251748251748	
1	17	160	143	50	4.4925	106	0.741258741258741	
1	17	160	143	60	4.1815	99	0.692307692307692	
1	17	160	143	70	4.0703	98	0.685314685314685	
1	17	160	143	80	4.3873	97	0.678321678321678	
1	17	160	143	90	4.072	92	0.643356643356643	
1	17	160	143	100	3.9007	91	0.636363636363636	
1	17	170	153	0	5.7853	153	1	
1	17	170	153	10	5.1524	124	0.810457516339869	
1	17	170	153	20	4.693	118	0.77124183006536	
1	17	170	153	30	4.695	115	0.751633986928105	
1	17	170	153	40	4.6326	113	0.738562091503268	
1	17	170	153	50	4.853	114	0.745098039215686	
1	17	170	153	60	5.0206	113	0.738562091503268	
1	17	170	153	70	4.7126	110	0.718954248366013	
1	17	170	153	80	4.6336	108	0.705882352941177	
1	17	170	153	90	4.4788	106	0.69281045751634	
1	17	170	153	100	4.416	105	0.686274509803922	
1	15	180	165	0	6.1015	165	1	
1	15	180	165	10	5.9253	140	0.848484848484849	
1	15	180	165	20	5.6027	129	0.781818181818182	
1	15	180	165	30	5.0995	123	0.745454545454545	
1	15	180	165	40	4.9445	122	0.739393939393939	
1	15	180	165	50	5.2167	120	0.727272727272727	
1	15	180	165	60	5.0497	118	0.715151515151515	
1	15	180	165	70	5.2253	117	0.709090909090909	
1	15	180	165	80	4.9611	116	0.703030303030303	
1	15	180	165	90	4.8841	114	0.690909090909091	
1	15	180	165	100	4.8197	114	0.690909090909091	
1	21	190	169	0	6.6468	169	1	
1	21	190	169	10	6.2558	145	0.857988165680473	
1	21	190	169	20	5.4334	130	0.769230769230769	
1	21	190	169	30	5.3412	128	0.757396449704142	
1	21	190	169	40	5.04	123	0.727810650887574	
1	21	190	169	50	5.1814	120	0.710059171597633	
1	21	190	169	60	5.2538	119	0.70414201183432	
1	21	190	169	70	5.1794	119	0.70414201183432	
1	21	190	169	80	4.9786	119	0.70414201183432	
1	21	190	169	90	5.1784	119	0.70414201183432	
1	21	190	169	100	4.96	117	0.692307692307692	
1	20	200	180	0	7.1148	180	1	
1	20	200	180	10	6.3934	155	0.861111111111111	
1	20	200	180	20	6.0788	149	0.827777777777778	
1	20	200	180	30	5.9916	146	0.811111111111111	
1	20	200	180	40	5.8346	141	0.783333333333333	
1	20	200	180	50	6.1446	132	0.733333333333333	
1	20	200	180	60	5.5866	129	0.716666666666667	
1	20	200	180	70	5.3656	127	0.705555555555556	
1	20	200	180	80	5.2252	127	0.705555555555556	
1	20	200	180	90	5.5392	127	0.705555555555556	
1	20	200	180	100	5.583	126	0.7	
2	6	10	4	0	0.2808	4	1	
2	6	10	4	10	0.2964	3	0.75	
2	6	10	4	20	0.1866	3	0.75	
2	6	10	4	30	0.2028	3	0.75	
2	6	10	4	40	0.1872	3	0.75	
2	6	10	4	50	0.2028	3	0.75	
