seed	V	N	B	n_invisible	
1	10	0	6	4	
1	10	2	6	4	
1	10	4	6	4	
1	10	6	6	4	
1	10	8	6	4	
1	10	10	6	4	
1	10	12	6	4	
1	10	14	6	4	
1	10	16	6	4	
1	10	18	6	4	
1	10	20	6	4	
1	20	0	8	12	
1	20	4	8	8	
1	20	8	8	8	
1	20	12	8	8	
1	20	16	8	8	
1	20	20	8	8	
1	20	24	8	8	
1	20	28	8	8	
1	20	32	8	8	
1	20	36	8	8	
1	20	40	8	8	
1	30	0	10	20	
1	30	6	10	16	
1	30	12	10	16	
1	30	18	10	15	
1	30	24	10	14	
1	30	30	10	14	
1	30	36	10	14	
1	30	42	10	13	
1	30	48	10	13	
1	30	54	10	13	
1	30	60	10	13	
1	40	0	10	30	
1	40	8	10	23	
1	40	16	10	23	
1	40	24	10	23	
1	40	32	10	20	
1	40	40	10	20	
1	40	48	10	20	
1	40	56	10	20	
1	40	64	10	20	
1	40	72	10	20	
1	40	80	10	20	
1	50	0	14	36	
1	50	10	14	32	
1	50	20	14	28	
1	50	30	14	26	
1	50	40	14	25	
1	50	50	14	23	
1	50	60	14	23	
1	50	70	14	23	
1	50	80	14	23	
1	50	90	14	23	
1	50	100	14	23	
1	60	0	13	47	
1	60	12	13	35	
1	60	24	13	34	
1	60	36	13	30	
1	60	48	13	30	
1	60	60	13	27	
1	60	72	13	27	
1	60	84	13	27	
1	60	96	13	26	
1	60	108	13	26	
1	60	120	13	26	
1	70	0	13	57	
1	70	14	13	46	
1	70	28	13	44	
1	70	42	13	41	
1	70	56	13	40	
1	70	70	13	38	
1	70	84	13	36	
1	70	98	13	36	
1	70	112	13	36	
1	70	126	13	34	
1	70	140	13	34	
1	80	0	13	67	
1	80	16	13	54	
1	80	32	13	48	
1	80	48	13	46	
1	80	64	13	45	
1	80	80	13	45	
1	80	96	13	44	
1	80	112	13	43	
1	80	128	13	43	
1	80	144	13	42	
1	80	160	13	42	
1	90	0	11	79	
1	90	18	11	65	
1	90	36	11	58	
1	90	54	11	58	
1	90	72	11	56	
1	90	90	11	56	
1	90	108	11	56	
1	90	126	11	55	
1	90	144	11	53	
1	90	162	11	53	
1	90	180	11	52	
1	100	0	17	83	
1	100	20	17	72	
1	100	40	17	68	
1	100	60	17	61	
1	100	80	17	57	
1	100	100	17	53	
1	100	120	17	52	
1	100	140	17	52	
1	100	160	17	52	
1	100	180	17	52	
1	100	200	17	52	
2	10	0	6	4	
2	10	2	6	3	
2	10	4	6	3	
2	10	6	6	3	
2	10	8	6	3	
2	10	10	6	3	
2	10	12	6	3	
2	10	14	6	3	
2	10	16	6	3	
2	10	18	6	3	
2	10	20	6	3	
2	20	0	7	13	
2	20	4	7	9	
2	20	8	7	9	
2	20	12	7	9	
2	20	16	7	9	
2	20	20	7	8	
2	20	24	7	7	
2	20	28	7	7	
2	20	32	7	7	
2	20	36	7	7	
2	20	40	7	7	
2	30	0	7	23	
2	30	6	7	20	
2	30	12	7	19	
2	30	18	7	18	
2	30	24	7	18	
2	30	30	7	18	
2	30	36	7	15	
2	30	42	7	13	
2	30	48	7	13	
2	30	54	7	13	
2	30	60	7	13	
2	40	0	12	28	
2	40	8	12	19	
2	40	16	12	18	
2	40	24	12	18	
2	40	32	12	18	
2	40	40	12	18	
2	40	48	12	18	
2	40	56	12	17	
2	40	64	12	17	
2	40	72	12	17	
2	40	80	12	17	
2	50	0	12	38	
2	50	10	12	30	
2	50	20	12	30	
2	50	30	12	29	
2	50	40	12	29	
2	50	50	12	29	
2	50	60	12	28	
2	50	70	12	28	
2	50	80	12	28	
2	50	90	12	28	
2	50	100	12	28	
2	60	0	13	47	
2	60	12	13	39	
2	60	24	13	38	
2	60	36	13	37	
2	60	48	13	36	
2	60	60	13	36	
2	60	72	13	36	
2	60	84	13	36	
2	60	96	13	36	
2	60	108	13	36	
2	60	120	13	35	
2	70	0	8	62	
2	70	14	8	49	
2	70	28	8	45	
2	70	42	8	45	
