seed	BD	V	N	t_sec	n_invisible	p_invisible	
1	6	10	0	0.4508	10	1	
1	6	10	10	0.5402	3	0.3	
1	6	10	20	0.4222	2	0.2	
1	6	10	30	0.4076	1	0.1	
1	6	10	40	0.3964	1	0.1	
1	6	10	50	0.5088	0	0	
1	6	10	60	0.4564	2	0.2	
1	6	10	70	0.4364	2	0.2	
1	6	10	80	0.412	1	0.1	
1	6	10	90	0.39	0	0	
1	6	10	100	0.4456	0	0	
1	6	20	0	0.8126	20	1	
1	6	20	10	0.6568	4	0.2	
1	6	20	20	0.6104	4	0.2	
1	6	20	30	0.674	1	0.05	
1	6	20	40	0.6184	3	0.15	
1	6	20	50	0.5642	2	0.1	
1	6	20	60	0.6634	2	0.1	
1	6	20	70	0.6552	1	0.05	
1	6	20	80	0.5694	1	0.05	
1	6	20	90	0.5306	0	0	
1	6	20	100	0.5792	0	0	
1	6	30	0	1.067	30	1	
1	6	30	10	1.0152	15	0.5	
1	6	30	20	1.0736	14	0.466666666666667	
1	6	30	30	0.9458	10	0.333333333333333	
1	6	30	40	0.9296	6	0.2	
1	6	30	50	1.0171	9	0.3	
1	6	30	60	0.9925	8	0.266666666666667	
1	6	30	70	0.8626	4	0.133333333333333	
1	6	30	80	0.985	7	0.233333333333333	
1	6	30	90	0.9204	6	0.2	
1	6	30	100	0.839	3	0.1	
1	6	40	0	1.5519	40	1	
1	6	40	10	1.3956	22	0.55	
1	6	40	20	1.2086	16	0.4	
1	6	40	30	1.1898	13	0.325	
1	6	40	40	1.1547	12	0.3	
1	6	40	50	1.0538	7	0.175	
1	6	40	60	1.0484	9	0.225	
1	6	40	70	1.0484	5	0.125	
1	6	40	80	1.0182	3	0.075	
1	6	40	90	1.1163	5	0.125	
1	6	40	100	0.9362	3	0.075	
1	6	50	0	2.5375	50	1	
1	6	50	10	2.6667	34	0.68	
1	6	50	20	1.8303	23	0.46	
1	6	50	30	1.6231	18	0.36	
1	6	50	40	1.4421	12	0.24	
1	6	50	50	1.4055	13	0.26	
1	6	50	60	1.4819	15	0.3	
1	6	50	70	1.5663	16	0.32	
1	6	50	80	1.3027	9	0.18	
1	6	50	90	1.3578	12	0.24	
1	6	50	100	1.2972	10	0.2	
1	6	60	0	2.5339	60	1	
1	6	60	10	2.4753	42	0.7	
1	6	60	20	2.1501	28	0.466666666666667	
1	6	60	30	2.4521	29	0.483333333333333	
1	6	60	40	1.6951	19	0.316666666666667	
1	6	60	50	1.9887	22	0.366666666666667	
1	6	60	60	1.9379	19	0.316666666666667	
1	6	60	70	2.0379	19	0.316666666666667	
1	6	60	80	1.6555	13	0.216666666666667	
1	6	60	90	1.7039	9	0.15	
1	6	60	100	1.6091	12	0.2	
1	6	70	0	2.8039	70	1	
1	6	70	10	2.6949	43	0.614285714285714	
1	6	70	20	2.2531	41	0.585714285714286	
1	6	70	30	2.1853	33	0.471428571428571	
1	6	70	40	1.9163	23	0.328571428571429	
1	6	70	50	1.8699	19	0.271428571428571	
1	6	70	60	2.0125	20	0.285714285714286	
1	6	70	70	1.8377	17	0.242857142857143	
1	6	70	80	2.0635	18	0.257142857142857	
1	6	70	90	1.8023	13	0.185714285714286	
1	6	70	100	1.9491	14	0.2	
1	6	80	0	3.278	80	1	
1	6	80	10	2.9629	60	0.75	
1	6	80	20	3.0786	48	0.6	
1	6	80	30	2.6297	50	0.625	
1	6	80	40	2.3807	35	0.4375	
1	6	80	50	2.5077	40	0.5	
1	6	80	60	2.5835	29	0.3625	
1	6	80	70	2.5229	32	0.4	
1	6	80	80	2.2679	24	0.3	
1	6	80	90	2.3113	25	0.3125	
1	6	80	100	2.5202	27	0.3375	
1	6	90	0	3.8064	90	1	
1	6	90	10	3.1756	50	0.555555555555556	
1	6	90	20	2.9149	51	0.566666666666667	
1	6	90	30	2.8905	45	0.5	
1	6	90	40	2.6089	38	0.422222222222222	
1	6	90	50	2.6945	31	0.344444444444444	
1	6	90	60	2.5637	29	0.322222222222222	
1	6	90	70	2.5897	29	0.322222222222222	
1	6	90	80	2.4731	29	0.322222222222222	
1	6	90	90	2.3331	26	0.288888888888889	
1	6	90	100	2.3667	21	0.233333333333333	
1	6	100	0	3.6495	100	1	
1	6	100	10	3.3033	68	0.68	
1	6	100	20	3.3819	62	0.62	
1	6	100	30	3.1889	56	0.56	
1	6	100	40	3.1525	45	0.45	
1	6	100	50	2.8833	37	0.37	
1	6	100	60	3.2501	38	0.38	
1	6	100	70	3.0621	37	0.37	
1	6	100	80	3.0011	39	0.39	
1	6	100	90	2.7809	28	0.28	
1	6	100	100	3.0509	34	0.34	
2	6	10	0	0.4866	10	1	
2	6	10	10	0.3504	1	0.1	
2	6	10	20	0.4328	1	0.1	
2	6	10	30	0.3588	0	0	
2	6	10	40	0.3454	0	0	
2	6	10	50	0.339	0	0	
2	6	10	60	0.3828	0	0	
2	6	10	70	0.4074	0	0	
2	6	10	80	0.4334	0	0	
2	6	10	90	0.4212	0	0	
2	6	10	100	0.4254	0	0	
2	6	20	0	0.8066	20	1	
2	6	20	10	0.6896	5	0.25	
2	6	20	20	0.628	6	0.3	
2	6	20	30	0.578	3	0.15	
2	6	20	40	0.5658	1	0.05	
2	6	20	50	0.5928	2	0.1	
2	6	20	60	0.5896	2	0.1	
2	6	20	70	0.5714	2	0.1	
2	6	20	80	0.624	3	0.15	
2	6	20	90	0.5658	1	0.05	
2	6	20	100	0.555	1	0.05	
2	6	30	0	1.216	30	1	
2	6	30	10	1.0404	17	0.566666666666667	
2	6	30	20	0.9332	12	0.4	
2	6	30	30	0.9864	13	0.433333333333333	
2	6	30	40	0.9714	13	0.433333333333333	
2	6	30	50	0.8642	7	0.233333333333333	
2	6	30	60	0.8748	8	0.266666666666667	
2	6	30	70	0.8546	5	0.166666666666667	
2	6	30	80	0.962	9	0.3	
2	6	30	90	0.86	4	0.133333333333333	
2	6	30	100	0.9396	9	0.3	
2	6	40	0	1.4646	40	1	
2	6	40	10	1.2096	18	0.45	
2	6	40	20	1.2827	20	0.5	
2	6	40	30	1.1288	9	0.225	
2	6	40	40	1.299	16	0.4	
2	6	40	50	1.1706	11	0.275	
2	6	40	60	1.1001	8	0.2	
2	6	40	70	1.3192	13	0.325	
2	6	40	80	1.1628	7	0.175	
2	6	40	90	1.3282	5	0.125	
2	6	40	100	1.3215	7	0.175	
2	6	50	0	1.7979	50	1	
2	6	50	10	1.6434	29	0.58	
2	6	50	20	1.7065	26	0.52	
2	6	50	30	1.3725	19	0.38	
2	6	50	40	1.4558	14	0.28	
2	6	50	50	1.4303	17	0.34	
2	6	50	60	1.3634	10	0.2	
2	6	50	70	1.5203	8	0.16	
2	6	50	80	1.3946	6	0.12	
2	6	50	90	1.5758	12	0.24	
2	6	50	100	1.2331	3	0.06	
2	6	60	0	2.2657	60	1	
2	6	60	10	2.0967	38	0.633333333333333	
2	6	60	20	2.2879	30	0.5	
2	6	60	30	2.1025	23	0.383333333333333	
2	6	60	40	1.6862	17	0.283333333333333	
2	6	60	50	1.7019	16	0.266666666666667	
2	6	60	60	1.8073	14	0.233333333333333	
2	6	60	70	1.8745	15	0.25	
2	6	60	80	1.6021	10	0.166666666666667	
2	6	60	90	1.5807	11	0.183333333333333	
2	6	60	100	1.5973	11	0.183333333333333	
2	6	70	0	2.8449	70	1	
2	6	70	10	2.8931	44	0.628571428571429	
2	6	70	20	2.7125	37	0.528571428571429	
2	6	70	30	2.5087	35	0.5	
2	6	70	40	2.0977	24	0.342857142857143	
2	6	70	50	2.1947	24	0.342857142857143	
2	6	70	60	2.1705	23	0.328571428571429	
2	6	70	70	2.0303	22	0.314285714285714	
2	6	70	80	2.1359	19	0.271428571428571	
2	6	70	90	2.1709	17	0.242857142857143	
2	6	70	100	1.9831	15	0.214285714285714	
2	6	80	0	3.1003	80	1	
2	6	80	10	2.8825	55	0.6875	
2	6	80	20	2.5289	43	0.5375	
2	6	80	30	2.6357	34	0.425	
2	6	80	40	2.2547	25	0.3125	
2	6	80	50	2.1756	31	0.3875	
2	6	80	60	2.1763	22	0.275	
2	6	80	70	2.2753	23	0.2875	
2	6	80	80	2.1643	23	0.2875	
2	6	80	90	2.1302	19	0.2375	
