seed	BD	V	I	N	t_sec	n_invisible	p_invisible	
1	6	10	4	0	0.2048	4	1	
1	6	10	4	10	0.2038	4	1	
1	6	10	4	20	0.2028	4	1	
1	6	10	4	30	0.3582	4	1	
1	6	10	4	40	0.313	4	1	
1	6	10	4	50	0.3296	4	1	
1	6	10	4	60	0.313	4	1	
1	6	10	4	70	0.3286	4	1	
1	6	10	4	80	0.4524	4	1	
1	6	10	4	90	0.3432	4	1	
1	6	10	4	100	0.4368	4	1	
1	8	20	12	0	0.4212	12	1	
1	8	20	12	10	0.5012	8	0.666666666666667	
1	8	20	12	20	0.4856	8	0.666666666666667	
1	8	20	12	30	0.4856	8	0.666666666666667	
1	8	20	12	40	0.4836	8	0.666666666666667	
1	8	20	12	50	0.4478	8	0.666666666666667	
1	8	20	12	60	0.5102	8	0.666666666666667	
1	8	20	12	70	0.4836	8	0.666666666666667	
1	8	20	12	80	0.6708	8	0.666666666666667	
1	8	20	12	90	0.5616	8	0.666666666666667	
1	8	20	12	100	0.4836	8	0.666666666666667	
1	10	30	20	0	0.6874	20	1	
1	10	30	20	10	0.8072	16	0.8	
1	10	30	20	20	0.8122	16	0.8	
1	10	30	20	30	0.7488	15	0.75	
1	10	30	20	40	0.7342	14	0.7	
1	10	30	20	50	0.7332	14	0.7	
1	10	30	20	60	0.7912	14	0.7	
1	10	30	20	70	0.702	13	0.65	
1	10	30	20	80	0.702	13	0.65	
1	10	30	20	90	0.9048	13	0.65	
1	10	30	20	100	0.7956	13	0.65	
1	10	40	30	0	1.0628	30	1	
1	10	40	30	10	1.0448	23	0.766666666666667	
1	10	40	30	20	1.0472	23	0.766666666666667	
1	10	40	30	30	1.016	23	0.766666666666667	
1	10	40	30	40	1.1564	20	0.666666666666667	
1	10	40	30	50	1.0188	20	0.666666666666667	
1	10	40	30	60	0.9984	20	0.666666666666667	
1	10	40	30	70	0.9672	20	0.666666666666667	
1	10	40	30	80	0.9828	20	0.666666666666667	
1	10	40	30	90	0.936	20	0.666666666666667	
1	10	40	30	100	0.9509	20	0.666666666666667	
1	14	50	36	0	1.1856	36	1	
1	14	50	36	10	1.3615	32	0.888888888888889	
1	14	50	36	20	1.1564	28	0.777777777777778	
1	14	50	36	30	1.1252	26	0.722222222222222	
1	14	50	36	40	1.1096	25	0.694444444444444	
1	14	50	36	50	1.0883	23	0.638888888888889	
