seed	BD	V	N	t_sec	n_invisible	p_invisible	
1	6	10	0	0.468	10	1	
1	6	10	10	0.57	3	0.3	
1	6	10	20	0.469	2	0.2	
1	6	10	30	0.4378	1	0.1	
1	6	10	40	0.3598	1	0.1	
1	6	10	50	0.3744	0	0	
1	6	10	60	0.4388	2	0.2	
1	6	10	70	0.4056	2	0.2	
1	6	10	80	0.3754	1	0.1	
1	6	10	90	0.3608	0	0	
1	6	10	100	0.3802	0	0	
1	6	20	0	0.8756	20	1	
1	6	20	10	0.6488	4	0.2	
1	6	20	20	0.6246	4	0.2	
1	6	20	30	0.6416	1	0.05	
1	6	20	40	0.5948	3	0.15	
1	6	20	50	0.5616	2	0.1	
1	6	20	60	0.5792	2	0.1	
1	6	20	70	0.6406	1	0.05	
1	6	20	80	0.5938	1	0.05	
1	6	20	90	0.5726	0	0	
1	6	20	100	0.5866	0	0	
1	6	30	0	1.0618	30	1	
1	6	30	10	1.1232	15	0.5	
1	6	30	20	1.0824	14	0.466666666666667	
1	6	30	30	1.0014	10	0.333333333333333	
1	6	30	40	1.0152	6	0.2	
1	6	30	50	1.1408	9	0.3	
1	6	30	60	1.1564	8	0.266666666666667	
1	6	30	70	0.9672	4	0.133333333333333	
1	6	30	80	0.9166	7	0.233333333333333	
1	6	30	90	0.9334	6	0.2	
1	6	30	100	0.8268	3	0.1	
1	6	40	0	1.5932	40	1	
1	6	40	10	1.328	22	0.55	
1	6	40	20	1.22	16	0.4	
1	6	40	30	1.1242	13	0.325	
1	6	40	40	1.2032	12	0.3	
1	6	40	50	1.092	7	0.175	
1	6	40	60	1.1662	9	0.225	
1	6	40	70	1.0608	5	0.125	
1	6	40	80	1.0296	3	0.075	
1	6	40	90	1.2324	5	0.125	
1	6	40	100	1.0452	3	0.075	
1	6	50	0	1.7794	50	1	
1	6	50	10	1.6878	34	0.68	
1	6	50	20	1.5466	23	0.46	
1	6	50	30	1.5006	18	0.36	
1	6	50	40	1.3884	12	0.24	
1	6	50	50	1.2914	13	0.26	
1	6	50	60	1.3592	15	0.3	
1	6	50	70	1.4392	16	0.32	
1	6	50	80	1.2032	9	0.18	
1	6	50	90	1.3806	12	0.24	
1	6	50	100	1.2324	10	0.2	
1	6	60	0	2.3402	60	1	
1	6	60	10	2.1714	42	0.7	
1	6	60	20	1.8886	28	0.466666666666667	
1	6	60	30	1.8204	29	0.483333333333333	
1	6	60	40	1.7784	19	0.316666666666667	
1	6	60	50	1.7154	22	0.366666666666667	
1	6	60	60	1.8114	19	0.316666666666667	
1	6	60	70	1.6848	19	0.316666666666667	
1	6	60	80	1.8722	13	0.216666666666667	
1	6	60	90	1.5298	9	0.15	
1	6	60	100	1.5756	12	0.2	
1	6	70	0	2.6472	70	1	
1	6	70	10	2.4678	43	0.614285714285714	
1	6	70	20	2.2738	41	0.585714285714286	
1	6	70	30	2.1684	33	0.471428571428571	
1	6	70	40	2.1842	23	0.328571428571429	
1	6	70	50	2.2318	19	0.271428571428571	
1	6	70	60	2.5876	20	0.285714285714286	
1	6	70	70	1.841	17	0.242857142857143	
1	6	70	80	2.1528	18	0.257142857142857	
1	6	70	90	1.997	13	0.185714285714286	
1	6	70	100	2.2308	14	0.2	
1	6	80	0	3.2762	80	1	
1	6	80	10	3.0256	60	0.75	
1	6	80	20	3.5568	48	0.6	
1	6	80	30	3.2938	50	0.625	
1	6	80	40	2.4388	35	0.4375	
1	6	80	50	2.6744	40	0.5	
1	6	80	60	2.601	29	0.3625	
1	6	80	70	2.7304	32	0.4	
1	6	80	80	2.2864	24	0.3	
1	6	80	90	2.2982	25	0.3125	
1	6	80	100	2.4346	27	0.3375	
1	6	90	0	3.6426	90	1	
1	6	90	10	2.9154	50	0.555555555555556	
1	6	90	20	2.8724	51	0.566666666666667	
1	6	90	30	2.777	45	0.5	
1	6	90	40	2.575	38	0.422222222222222	
1	6	90	50	2.931	31	0.344444444444444	
1	6	90	60	2.653	29	0.322222222222222	
1	6	90	70	2.4962	29	0.322222222222222	
1	6	90	80	2.496	29	0.322222222222222	
1	6	90	90	2.4016	26	0.288888888888889	
1	6	90	100	2.3868	21	0.233333333333333	
1	6	100	0	3.9781	100	1	
1	6	100	10	3.4605	68	0.68	
1	6	100	20	3.3075	62	0.62	
1	6	100	30	3.1834	56	0.56	
1	6	100	40	3.0323	45	0.45	
1	6	100	50	2.8511	37	0.37	
1	6	100	60	2.886	38	0.38	
1	6	100	70	2.8375	37	0.37	
1	6	100	80	3.0264	39	0.39	
1	6	100	90	2.7137	28	0.28	
1	6	100	100	2.964	34	0.34	
2	6	10	0	0.5002	10	1	
2	6	10	10	0.468	1	0.1	
2	6	10	20	0.4524	1	0.1	
2	6	10	30	0.3588	0	0	
2	6	10	40	0.3744	0	0	
2	6	10	50	0.3588	0	0	
2	6	10	60	0.3588	0	0	
2	6	10	70	0.3588	0	0	
2	6	10	80	0.39	0	0	
2	6	10	90	0.3928	0	0	
2	6	10	100	0.3854	0	0	
2	6	20	0	0.7956	20	1	
2	6	20	10	0.7012	5	0.25	
2	6	20	20	0.6396	6	0.3	
2	6	20	30	0.5636	3	0.15	
2	6	20	40	0.5616	1	0.05	
2	6	20	50	0.6884	2	0.1	
2	6	20	60	0.6884	2	0.1	
2	6	20	70	0.6884	2	0.1	
2	6	20	80	0.7188	3	0.15	
2	6	20	90	0.6632	1	0.05	
2	6	20	100	0.6708	1	0.05	
2	6	30	0	1.0482	30	1	
2	6	30	10	0.938	17	0.566666666666667	
2	6	30	20	0.937	12	0.4	
2	6	30	30	0.9664	13	0.433333333333333	
2	6	30	40	1.0296	13	0.433333333333333	
2	6	30	50	0.8424	7	0.233333333333333	
2	6	30	60	0.8736	8	0.266666666666667	
2	6	30	70	0.8736	5	0.166666666666667	
2	6	30	80	0.9516	9	0.3	
2	6	30	90	1.0152	4	0.133333333333333	
2	6	30	100	1.092	9	0.3	
2	6	40	0	1.4518	40	1	
2	6	40	10	1.2244	18	0.45	
2	6	40	20	1.3332	20	0.5	
2	6	40	30	1.2178	9	0.225	
2	6	40	40	1.3738	16	0.4	
2	6	40	50	1.063	11	0.275	
