seed	vertices	directions	virtual_terminals	
1	10	L2_10	9	
1	10	L2_20	9	
1	10	L2_30	9	
1	10	L2_40	9	
1	10	L2_50	10	
1	10	L2_60	9	
1	10	L2_70	9	
1	10	L2_80	9	
1	10	L2_90	9	
1	20	L2_10	15	
1	20	L2_20	18	
1	20	L2_30	19	
1	20	L2_40	20	
1	20	L2_50	20	
1	20	L2_60	20	
1	20	L2_70	19	
1	20	L2_80	18	
1	20	L2_90	18	
1	30	L2_10	28	
1	30	L2_20	29	
1	30	L2_30	29	
1	30	L2_40	29	
1	30	L2_50	29	
1	30	L2_60	28	
1	30	L2_70	28	
1	30	L2_80	27	
1	30	L2_90	27	
1	40	L2_10	33	
1	40	L2_20	35	
1	40	L2_30	35	
1	40	L2_40	35	
1	40	L2_50	35	
1	40	L2_60	35	
1	40	L2_70	34	
1	40	L2_80	32	
1	40	L2_90	30	
1	50	L2_10	41	
1	50	L2_20	42	
1	50	L2_30	44	
1	50	L2_40	44	
1	50	L2_50	42	
1	50	L2_60	43	
1	50	L2_70	43	
1	50	L2_80	43	
1	50	L2_90	41	
1	60	L2_10	52	
1	60	L2_20	53	
1	60	L2_30	53	
1	60	L2_40	53	
1	60	L2_50	53	
1	60	L2_60	51	
1	60	L2_70	50	
1	60	L2_80	47	
1	60	L2_90	46	
1	70	L2_10	57	
1	70	L2_20	60	
1	70	L2_30	58	
1	70	L2_40	59	
1	70	L2_50	61	
1	70	L2_60	58	
1	70	L2_70	56	
1	70	L2_80	56	
1	70	L2_90	54	
1	80	L2_10	61	
1	80	L2_20	62	
1	80	L2_30	66	
1	80	L2_40	68	
1	80	L2_50	71	
1	80	L2_60	74	
1	80	L2_70	74	
1	80	L2_80	72	
1	80	L2_90	67	
1	90	L2_10	74	
1	90	L2_20	77	
1	90	L2_30	77	
1	90	L2_40	77	
1	90	L2_50	78	
1	90	L2_60	79	
1	90	L2_70	78	
1	90	L2_80	77	
1	90	L2_90	73	
1	100	L2_10	80	
1	100	L2_20	84	
1	100	L2_30	84	
1	100	L2_40	85	
1	100	L2_50	87	
1	100	L2_60	86	
1	100	L2_70	84	
1	100	L2_80	82	
1	100	L2_90	79	
2	10	L2_10	10	
2	10	L2_20	10	
2	10	L2_30	10	
2	10	L2_40	10	
2	10	L2_50	10	
2	10	L2_60	10	
2	10	L2_70	10	
2	10	L2_80	10	
2	10	L2_90	10	
2	20	L2_10	16	
2	20	L2_20	15	
2	20	L2_30	16	
2	20	L2_40	17	
2	20	L2_50	17	
2	20	L2_60	17	
2	20	L2_70	16	
2	20	L2_80	15	
2	20	L2_90	14	
2	30	L2_10	27	
2	30	L2_20	28	
2	30	L2_30	28	
2	30	L2_40	28	
2	30	L2_50	27	
2	30	L2_60	27	
2	30	L2_70	26	
2	30	L2_80	26	
2	30	L2_90	26	
2	40	L2_10	31	
2	40	L2_20	33	
2	40	L2_30	34	
2	40	L2_40	34	
2	40	L2_50	35	
2	40	L2_60	36	
2	40	L2_70	33	
2	40	L2_80	33	
2	40	L2_90	31	
2	50	L2_10	46	
2	50	L2_20	46	
2	50	L2_30	45	
2	50	L2_40	45	
2	50	L2_50	45	
2	50	L2_60	45	
2	50	L2_70	43	
2	50	L2_80	42	
2	50	L2_90	41	
2	60	L2_10	49	
2	60	L2_20	49	
2	60	L2_30	53	
2	60	L2_40	54	
2	60	L2_50	53	
2	60	L2_60	55	
2	60	L2_70	55	
2	60	L2_80	52	
2	60	L2_90	51	
2	70	L2_10	52	
2	70	L2_20	54	
2	70	L2_30	57	
2	70	L2_40	57	
2	70	L2_50	58	
2	70	L2_60	59	
2	70	L2_70	60	
2	70	L2_80	58	
2	70	L2_90	54	
2	80	L2_10	70	
2	80	L2_20	70	
2	80	L2_30	73	
2	80	L2_40	74	
2	80	L2_50	73	
2	80	L2_60	71	
2	80	L2_70	71	
2	80	L2_80	68	
2	80	L2_90	66	
2	90	L2_10	74	
2	90	L2_20	73	
2	90	L2_30	76	
2	90	L2_40	78	
2	90	L2_50	80	
2	90	L2_60	78	
2	90	L2_70	77	
2	90	L2_80	75	
2	90	L2_90	73	
2	100	L2_10	77	
2	100	L2_20	77	
2	100	L2_30	79	
2	100	L2_40	79	
2	100	L2_50	84	
2	100	L2_60	86	
2	100	L2_70	83	
2	100	L2_80	82	
2	100	L2_90	82	
3	10	L2_10	6	
3	10	L2_20	6	
3	10	L2_30	7	
3	10	L2_40	8	
3	10	L2_50	7	
3	10	L2_60	8	
3	10	L2_70	7	
3	10	L2_80	6	
3	10	L2_90	6	
3	20	L2_10	15	
3	20	L2_20	17	
3	20	L2_30	17	
3	20	L2_40	17	
3	20	L2_50	18	
3	20	L2_60	19	
3	20	L2_70	17	
3	20	L2_80	17	
3	20	L2_90	16	
3	30	L2_10	27	
3	30	L2_20	27	
3	30	L2_30	28	
3	30	L2_40	28	
3	30	L2_50	28	
3	30	L2_60	29	
3	30	L2_70	29	
3	30	L2_80	28	
3	30	L2_90	27	
3	40	L2_10	32	
3	40	L2_20	34	
3	40	L2_30	34	
3	40	L2_40	34	
3	40	L2_50	35	
3	40	L2_60	36	
3	40	L2_70	35	
3	40	L2_80	35	
3	40	L2_90	33	
3	50	L2_10	41	
3	50	L2_20	43	
3	50	L2_30	45	
3	50	L2_40	45	
3	50	L2_50	45	
3	50	L2_60	45	
3	50	L2_70	43	
3	50	L2_80	41	
3	50	L2_90	39	
3	60	L2_10	48	
3	60	L2_20	51	
3	60	L2_30	51	
3	60	L2_40	52	
3	60	L2_50	52	
3	60	L2_60	52	
3	60	L2_70	52	
3	60	L2_80	50	
3	60	L2_90	48	
3	70	L2_10	56	
3	70	L2_20	58	
3	70	L2_30	59	
3	70	L2_40	56	
3	70	L2_50	60	
3	70	L2_60	62	
3	70	L2_70	61	
3	70	L2_80	58	
3	70	L2_90	58	
3	80	L2_10	70	
3	80	L2_20	71	
3	80	L2_30	71	
3	80	L2_40	72	
3	80	L2_50	72	
3	80	L2_60	71	
3	80	L2_70	74	
3	80	L2_80	73	
3	80	L2_90	70	
3	90	L2_10	78	
3	90	L2_20	79	
3	90	L2_30	80	
3	90	L2_40	81	
3	90	L2_50	78	
3	90	L2_60	77	
3	90	L2_70	75	
3	90	L2_80	74	
3	90	L2_90	74	
3	100	L2_10	74	
3	100	L2_20	80	
3	100	L2_30	85	
3	100	L2_40	82	
3	100	L2_50	80	
3	100	L2_60	78	
3	100	L2_70	78	
3	100	L2_80	76	
